total,full_pressure,zero_pressure,equipment_size,category
0.000917,0.000941,7.56e-06,12.5A,1-3mm
0.000343,0.000329,5.3e-06,12.5A,3-10mm
0.000168,0.000144,1.08e-05,12.5A,10-50mm
0.0,0.0,0.0,12.5A,50-150mm
0.0,0.0,0.0,12.5A,>150mm
0.00143,0.00141,2.37e-05,12.5A,Total
0.000273,0.000285,4.77e-06,25A,1-3mm
0.000102,9.98e-05,3.34e-06,25A,3-10mm
5.31e-05,4.58e-05,7.58e-06,25A,10-50mm
0.0,0.0,0.0,25A,50-150mm
0.0,0.0,0.0,25A,>150mm
0.000428,0.000431,1.57e-05,25A,Total
9.99e-05,0.000103,3.55e-06,50A,1-3mm
3.74e-05,3.61e-05,2.49e-06,50A,3-10mm
1.39e-05,1.24e-05,1.94e-06,50A,10-50mm
8.42e-06,6.1e-06,4.22e-06,50A,50-150mm
0.0,0.0,0.0,50A,>150mm
0.00016,0.000158,1.22e-05,50A,Total
5.36e-05,5.27e-05,3.02e-06,100A,1-3mm
2.01e-05,1.85e-05,2.12e-06,100A,3-10mm
7.46e-06,6.33e-06,1.65e-06,100A,10-50mm
6.61e-06,4.58e-06,3.89e-06,100A,50-150mm
0.0,0.0,0.0,100A,>150mm
8.78e-05,8.21e-05,1.07e-05,100A,Total
4.45e-05,4.25e-05,2.86e-06,125A,1-3mm
1.67e-05,1.49e-05,2.01e-06,125A,3-10mm
6.19e-06,5.1e-06,1.56e-06,125A,10-50mm
1.13e-06,8.5e-07,6.23e-07,125A,50-150mm
5.12e-06,3.43e-06,3.17e-06,125A,>150mm
7.37e-05,6.67e-05,1.02e-05,125A,Total
3.97e-05,3.69e-05,2.75e-06,250A,1-3mm
1.49e-05,1.29e-05,1.93e-06,250A,3-10mm
5.52e-06,4.43e-06,1.5e-06,250A,10-50mm
1e-06,7.38e-07,5.98e-07,250A,50-150mm
5.06e-06,3.37e-06,3.12e-06,250A,>150mm
6.61e-05,5.83e-05,9.89e-06,250A,Total
3.88e-05,3.59e-05,2.72e-06,350A,1-3mm
1.45e-05,1.26e-05,1.91e-06,350A,3-10mm
5.4e-06,4.31e-06,1.48e-06,350A,10-50mm
9.81e-07,7.17e-07,5.92e-07,350A,50-150mm
5.04e-06,3.36e-06,3.11e-06,350A,>150mm
6.48e-05,5.68e-05,9.81e-06,350A,Total
3.79e-05,3.48e-05,2.69e-06,500A,1-3mm
1.42e-05,1.22e-05,1.89e-06,500A,3-10mm
5.27e-06,4.12e-06,1.47e-06,500A,10-50mm
9.59e-07,6.97e-07,5.85e-07,500A,50-150mm
5.03e-06,3.35e-06,3.09e-06,500A,>150mm
6.34e-05,5.52e-05,9.72e-06,500A,Total
