total,full_pressure,zero_pressure,equipment_size,category
0.0042,0.00404,0.000157,12.5A,1-3mm
0.00158,0.00143,0.000107,12.5A,3-10mm
0.00075,0.000624,0.000168,12.5A,10-50mm
0.0,0.0,0.0,12.5A,50-150mm
0.0,0.0,0.0,12.5A,>150mm
0.00653,0.0061,0.000432,12.5A,Total
0.0042,0.00404,0.000157,25A,1-3mm
0.00158,0.00143,0.000107,25A,3-10mm
0.00075,0.000624,0.000168,25A,10-50mm
0.0,0.0,0.0,25A,50-150mm
0.0,0.0,0.0,25A,>150mm
0.00653,0.0061,0.000432,25A,Total
0.0042,0.00404,0.000157,50A,1-3mm
0.00158,0.00143,0.000107,50A,3-10mm
0.000585,0.000497,8.12e-05,50A,10-50mm
0.000165,0.000127,8.69e-05,50A,50-150mm
0.0,0.0,0.0,50A,>150mm
0.00653,0.0061,0.000432,50A,Total
0.0042,0.00404,0.000157,100A,1-3mm
0.00158,0.00143,0.000107,100A,3-10mm
0.000585,0.000497,8.12e-05,100A,10-50mm
0.000165,0.000127,8.69e-05,100A,50-150mm
0.0,0.0,0.0,100A,>150mm
0.00653,0.0061,0.000432,100A,Total
0.0042,0.00404,0.000157,125A,1-3mm
0.00158,0.00143,0.000107,125A,3-10mm
0.000585,0.000497,8.12e-05,125A,10-50mm
0.000106,8.41e-05,3.15e-05,125A,50-150mm
5.88e-05,4.28e-05,5.54e-05,125A,>150mm
0.00653,0.0061,0.000432,125A,Total
