total,full_pressure,zero_pressure,equipment_size,category
0.000309,0.0003,1.09e-05,12.5A,1-3mm
0.000137,0.000129,7.14e-06,12.5A,3-10mm
8.64e-05,7.64e-05,9.94e-06,12.5A,10-50mm
0.0,0.0,0.0,12.5A,50-150mm
0.0,0.0,0.0,12.5A,>150mm
0.000533,0.000505,2.8e-05,12.5A,Total
0.000309,0.0003,1.09e-05,25A,1-3mm
0.000137,0.000129,7.14e-06,25A,3-10mm
8.64e-05,7.64e-05,9.94e-06,25A,10-50mm
0.0,0.0,0.0,25A,50-150mm
0.0,0.0,0.0,25A,>150mm
0.000533,0.000505,2.8e-05,25A,Total
0.000309,0.0003,1.09e-05,50A,1-3mm
0.000137,0.000129,7.14e-06,50A,3-10mm
8.64e-05,7.64e-05,9.94e-06,50A,10-50mm
0.0,0.0,0.0,50A,50-150mm
0.0,0.0,0.0,50A,>150mm
0.000533,0.000505,2.8e-05,50A,Total
