equipment_size,category,total,full_pressure,zero_pressure
12.5A,1-3mm,0.0008884,0.0007859,0.00016
12.5A,3-10mm,0.0005946,0.0004093,0.0001393
12.5A,10-50mm,0.0008768,0.0003448,0.0005117
12.5A,50-150mm,0.0,0.0,0.0
12.5A,>150mm,0.0,0.0,0.0
12.5A,Total,0.00236,0.00154,0.000811
25A,1-3mm,0.0008884,0.0007859,0.00016
25A,3-10mm,0.0005946,0.0004093,0.0001393
25A,10-50mm,0.0008768,0.0003448,0.0005117
25A,50-150mm,0.0,0.0,0.0
25A,>150mm,0.0,0.0,0.0
25A,Total,0.00236,0.00154,0.000811
50A,1-3mm,0.0008884,0.0007859,0.00016
50A,3-10mm,0.0005946,0.0004093,0.0001393
50A,10-50mm,0.0004379,0.0002236,0.0001408
50A,50-150mm,0.0004379,0.0001211,0.0003709
50A,>150mm,0.0,0.0,0.0
50A,Total,0.002359,0.00154,0.000811
100A,1-3mm,0.0008884,0.0007859,0.00016
100A,3-10mm,0.0005946,0.0004093,0.0001393
100A,10-50mm,0.0004379,0.0002236,0.0001408
100A,50-150mm,0.0004379,0.0001211,0.0003709
100A,>150mm,0.0,0.0,0.0
100A,Total,0.002359,0.00154,0.000811
125A,1-3mm,0.0008884,0.0007859,0.00016
125A,3-10mm,0.0005946,0.0004093,0.0001393
125A,10-50mm,0.0004379,0.0002236,0.0001408
125A,50-150mm,0.0001652,6.181e-05,7.316e-05
125A,>150mm,0.0002736,5.93e-05,0.0002977
125A,Total,0.00236,0.00154,0.000811
