equipment_size,category,total,full_pressure,zero_pressure
12.5A,1-3mm,0.001462,0.001177,0.0003081,
12.5A,3-10mm,0.001084,0.0008152,0.0002593,
12.5A,10-50mm,0.002144,0.001318,0.0008126,
12.5A,50-150mm,0.0,0.0,0.0,
12.5A,>150mm,0.0,0.0,0.0,
12.5A,Total,0.00469,0.00331,0.00138,
25A,1-3mm,0.001462,0.001177,0.0003081,
25A,3-10mm,0.001084,0.0008152,0.0002593,
25A,10-50mm,0.002144,0.001318,0.0008126,
25A,50-150mm,0.0,0.0,0.0,
25A,>150mm,0.0,0.0,0.0,
25A,Total,0.00469,0.00331,0.00138,
50A,1-3mm,0.001462,0.001177,0.0003081,
50A,3-10mm,0.001084,0.0008152,0.0002593,
50A,10-50mm,0.0009034,0.0006255,0.0002514,
50A,50-150mm,0.00124,0.0006922,0.0005612,
50A,>150mm,0.0,0.0,0.0,
50A,Total,0.004689,0.00331,0.00138,
100A,1-3mm,0.001462,0.001177,0.0003081,
100A,3-10mm,0.001084,0.0008152,0.0002593,
100A,10-50mm,0.0009034,0.0006255,0.0002514,
100A,50-150mm,0.00124,0.0006922,0.0005612,
100A,>150mm,0.0,0.0,0.0,
100A,Total,0.004689,0.00331,0.00138,
125A,1-3mm,0.001462,0.001177,0.0003081,
125A,3-10mm,0.001084,0.0008152,0.0002593,
125A,10-50mm,0.0009034,0.0006255,0.0002514,
125A,50-150mm,0.0003866,0.0002462,0.0001253,
125A,>150mm,0.0008537,0.0004461,0.0004359,
125A,Total,0.00469,0.00331,0.00138,
