total,full_pressure,zero_pressure,equipment_size,category
0.0364,0.0369,0.0,12.5A,1-3mm
0.0158,0.0151,0.0,12.5A,3-10mm
0.00957,0.00832,0.0,12.5A,10-50mm
0.0,0.0,0.0,12.5A,50-150mm
0.0,0.0,0.0,12.5A,>150mm
0.0618,0.0603,0.0,12.5A,Total
0.0364,0.0369,0.0,25A,1-3mm
0.0158,0.0151,0.0,25A,3-10mm
0.00957,0.00832,0.0,25A,10-50mm
0.0,0.0,0.0,25A,50-150mm
0.0,0.0,0.0,25A,>150mm
0.0618,0.0603,0.0,25A,Total
0.0364,0.0369,0.0,50A,1-3mm
0.0158,0.0151,0.0,50A,3-10mm
0.00697,0.00624,0.0,50A,10-50mm
0.0026,0.00209,0.0,50A,50-150mm
0.0,0.0,0.0,50A,>150mm
0.0618,0.0603,0.0,50A,Total
0.0364,0.0369,0.0,100A,1-3mm
0.0158,0.0151,0.0,100A,3-10mm
0.00697,0.00624,0.0,100A,10-50mm
0.0026,0.00209,0.0,100A,50-150mm
0.0,0.0,0.0,100A,>150mm
0.0618,0.0603,0.0,100A,Total
0.0364,0.0369,0.0,125A,1-3mm
0.0158,0.0151,0.0,125A,3-10mm
0.00697,0.00624,0.0,125A,10-50mm
0.00153,0.00128,0.0,125A,50-150mm
0.00107,0.000811,0.0,125A,>150mm
0.0618,0.0603,0.0,125A,Total
0.0,0.0,0.0,250A,1-3mm
0.0,0.0,0.0,250A,3-10mm
0.0,0.0,0.0,250A,10-50mm
0.0,0.0,0.0,250A,50-150mm
0.0,0.0,0.0,250A,>150mm
0.0,0.0,0.0,250A,Total
0.0,0.0,0.0,350A,1-3mm
0.0,0.0,0.0,350A,3-10mm
0.0,0.0,0.0,350A,10-50mm
0.0,0.0,0.0,350A,50-150mm
0.0,0.0,0.0,350A,>150mm
0.0,0.0,0.0,350A,Total
0.0,0.0,0.0,500A,1-3mm
0.0,0.0,0.0,500A,3-10mm
0.0,0.0,0.0,500A,10-50mm
0.0,0.0,0.0,500A,50-150mm
0.0,0.0,0.0,500A,>150mm
0.0,0.0,0.0,500A,Total
