total,full_pressure,zero_pressure,equipment_size,category
0.00187,0.00161,0.000245,12.5A,1-3mm
0.000931,0.000756,0.000161,12.5A,3-10mm
0.000719,0.000526,0.000223,12.5A,10-50mm
0.0,0.0,0.0,12.5A,50-150mm
0.0,0.0,0.0,12.5A,>150mm
0.00352,0.00289,0.000629,12.5A,Total
0.00187,0.00161,0.000245,25A,1-3mm
0.000931,0.000756,0.000161,25A,3-10mm
0.000719,0.000526,0.000223,25A,10-50mm
0.0,0.0,0.0,25A,50-150mm
0.0,0.0,0.0,25A,>150mm
0.00352,0.00289,0.000629,25A,Total
0.00187,0.00161,0.000245,50A,1-3mm
0.000931,0.000756,0.000161,50A,3-10mm
0.000482,0.000366,0.000115,50A,10-50mm
0.000237,0.00016,0.000108,50A,50-150mm
0.0,0.0,0.0,50A,>150mm
0.00352,0.00289,0.000629,50A,Total
0.00187,0.00161,0.000245,100A,1-3mm
0.000931,0.000756,0.000161,100A,3-10mm
0.000482,0.000366,0.000115,100A,10-50mm
0.000237,0.00016,0.000108,100A,50-150mm
0.0,0.0,0.0,100A,>150mm
0.00352,0.00289,0.000629,100A,Total
0.00187,0.00161,0.000245,125A,1-3mm
0.000931,0.000756,0.000161,125A,3-10mm
0.000482,0.000366,0.000115,125A,10-50mm
0.000126,8.89e-05,4.22e-05,125A,50-150mm
0.000111,7.09e-05,6.6e-05,125A,>150mm
0.00352,0.00289,0.000629,125A,Total
