total,full_pressure,zero_pressure,equipment_size,category
3.73e-05,3.54e-05,1.16e-06,12.5A,1-3mm
1.36e-05,1.24e-05,8.77e-07,12.5A,3-10mm
1.23e-05,1.03e-05,2.37e-06,12.5A,10-50mm
0.0,0.0,0.0,12.5A,50-150mm
0.0,0.0,0.0,12.5A,>150mm
6.32e-05,5.81e-05,4.4e-06,12.5A,Total
4.04e-05,3.77e-05,1.16e-06,25A,1-3mm
1.48e-05,1.32e-05,8.77e-07,25A,3-10mm
1.28e-05,1.07e-05,2.37e-06,25A,10-50mm
0.0,0.0,0.0,25A,50-150mm
0.0,0.0,0.0,25A,>150mm
6.8e-05,6.16e-05,4.4e-06,25A,Total
4.63e-05,4.23e-05,1.16e-06,50A,1-3mm
1.7e-05,1.48e-05,8.78e-07,50A,3-10mm
6.13e-06,5.08e-06,7.52e-07,50A,10-50mm
7.66e-06,6.27e-06,1.62e-06,50A,50-150mm
0.0,0.0,0.0,50A,>150mm
7.7e-05,6.84e-05,4.4e-06,50A,Total
5.75e-05,5.13e-05,1.17e-06,100A,1-3mm
2.1e-05,1.8e-05,8.89e-07,100A,3-10mm
7.61e-06,6.16e-06,7.61e-07,100A,10-50mm
8.06e-06,6.54e-06,1.63e-06,100A,50-150mm
0.0,0.0,0.0,100A,>150mm
9.42e-05,8.2e-05,4.45e-06,100A,Total
6.82e-05,6.03e-05,1.24e-06,125A,1-3mm
2.5e-05,2.11e-05,9.42e-07,125A,3-10mm
9.02e-06,7.24e-06,8.07e-07,125A,10-50mm
1.59e-06,1.21e-06,3.55e-07,125A,50-150mm
6.85e-06,5.6e-06,1.34e-06,125A,>150mm
0.000111,9.54e-05,4.69e-06,125A,Total
8.88e-05,7.8e-05,1.88e-06,250A,1-3mm
3.25e-05,2.73e-05,1.43e-06,250A,3-10mm
1.18e-05,9.36e-06,1.23e-06,250A,10-50mm
2.08e-06,1.56e-06,5.39e-07,250A,50-150mm
7.11e-06,5.78e-06,1.78e-06,250A,>150mm
0.000142,0.000122,6.86e-06,250A,Total
0.000109,9.56e-05,4.15e-06,350A,1-3mm
3.98e-05,3.35e-05,3.15e-06,350A,3-10mm
1.44e-05,1.15e-05,2.7e-06,350A,10-50mm
2.54e-06,1.91e-06,1.19e-06,350A,50-150mm
7.36e-06,5.96e-06,3.32e-06,350A,>150mm
0.000173,0.000148,1.45e-05,350A,Total
0.000138,0.000122,1.45e-05,500A,1-3mm
5.05e-05,4.26e-05,1.1e-05,500A,3-10mm
1.83e-05,1.46e-05,9.45e-06,500A,10-50mm
3.23e-06,2.44e-06,4.16e-06,500A,50-150mm
7.72e-06,6.22e-06,1.04e-05,500A,>150mm
0.000218,0.000188,4.96e-05,500A,Total
