total,full_pressure,zero_pressure,equipment_size,category
0.0008,0.0008,0.0,12.5A,1-3mm
0.00038,0.00038,0.0,12.5A,3-10mm
0.00027,0.00027,0.0,12.5A,10-50mm
0.0,0.0,0.0,12.5A,50-150mm
0.0,0.0,0.0,12.5A,>150mm
0.00145,0.00145,0.0,12.5A,Total
0.0008,0.0008,0.0,25A,1-3mm
0.00038,0.00038,0.0,25A,3-10mm
0.00027,0.00027,0.0,25A,10-50mm
0.0,0.0,0.0,25A,50-150mm
0.0,0.0,0.0,25A,>150mm
0.00145,0.00145,0.0,25A,Total
0.0008,0.0008,0.0,50A,1-3mm
0.00038,0.00038,0.0,50A,3-10mm
0.000187,0.000187,0.0,50A,10-50mm
8.34e-05,8.34e-05,0.0,50A,50-150mm
0.0,0.0,0.0,50A,>150mm
0.00145,0.00145,0.0,50A,Total
0.0008,0.0008,0.0,100A,1-3mm
0.00038,0.00038,0.0,100A,3-10mm
0.000187,0.000187,0.0,100A,10-50mm
8.34e-05,8.34e-05,0.0,100A,50-150mm
0.0,0.0,0.0,100A,>150mm
0.00145,0.00145,0.0,100A,Total
0.0008,0.0008,0.0,125A,1-3mm
0.00038,0.00038,0.0,125A,3-10mm
0.000187,0.000187,0.0,125A,10-50mm
4.6e-05,4.6e-05,0.0,125A,50-150mm
3.74e-05,3.74e-05,0.0,125A,>150mm
0.00145,0.00145,0.0,125A,Total
