total,full_pressure,zero_pressure,equipment_size,category
0.00201,0.00183,0.000234,12.5A,1-3mm
0.00104,0.000985,0.000103,12.5A,3-10mm
0.000853,0.000888,6.34e-05,12.5A,10-50mm
0.0,0.0,0.0,12.5A,50-150mm
0.0,0.0,0.0,12.5A,>150mm
0.0039,0.0037,0.0004,12.5A,Total
0.00201,0.00183,0.000234,25A,1-3mm
0.00104,0.000985,0.000103,25A,3-10mm
0.000853,0.000888,6.34e-05,25A,10-50mm
0.0,0.0,0.0,25A,50-150mm
0.0,0.0,0.0,25A,>150mm
0.0039,0.0037,0.0004,25A,Total
0.00201,0.00183,0.000234,50A,1-3mm
0.00104,0.000985,0.000103,50A,3-10mm
0.000558,0.00056,4.59e-05,50A,10-50mm
0.000295,0.000327,1.75e-05,50A,50-150mm
0.0,0.0,0.0,50A,>150mm
0.0039,0.0037,0.0004,50A,Total
0.00201,0.00183,0.000234,100A,1-3mm
0.00104,0.000985,0.000103,100A,3-10mm
0.000558,0.00056,4.59e-05,100A,10-50mm
0.000295,0.000327,1.75e-05,100A,50-150mm
0.0,0.0,0.0,100A,>150mm
0.0039,0.0037,0.0004,100A,Total
0.00201,0.00183,0.000234,125A,1-3mm
0.00104,0.000985,0.000103,125A,3-10mm
0.000558,0.00056,4.59e-05,125A,10-50mm
0.000152,0.000162,1.02e-05,125A,50-150mm
0.000143,0.000166,7.26e-06,125A,>150mm
0.0039,0.0037,0.0004,125A,Total
