total,full_pressure,zero_pressure,equipment_size,category
0.00172,0.00147,0.000167,12.5A,1-3mm
0.000773,0.000662,0.000109,12.5A,3-10mm
0.000546,0.000475,0.000152,12.5A,10-50mm
0.0,0.0,0.0,12.5A,50-150mm
0.0,0.0,0.0,12.5A,>150mm
0.00304,0.00261,0.000427,12.5A,Total
0.00172,0.00147,0.000167,25A,1-3mm
0.000773,0.000662,0.000109,25A,3-10mm
0.000546,0.000475,0.000152,25A,10-50mm
0.0,0.0,0.0,25A,50-150mm
0.0,0.0,0.0,25A,>150mm
0.00304,0.00261,0.000427,25A,Total
0.00172,0.00147,0.000167,50A,1-3mm
0.000773,0.000662,0.000109,50A,3-10mm
0.000355,0.000304,7.81e-05,50A,10-50mm
0.000191,0.000171,7.34e-05,50A,50-150mm
0.0,0.0,0.0,50A,>150mm
0.00304,0.00261,0.000427,50A,Total
0.00172,0.00147,0.000167,100A,1-3mm
0.000773,0.000662,0.000109,100A,3-10mm
0.000355,0.000304,7.81e-05,100A,10-50mm
0.000191,0.000171,7.34e-05,100A,50-150mm
0.0,0.0,0.0,100A,>150mm
0.00304,0.00261,0.000427,100A,Total
0.00172,0.00147,0.000167,125A,1-3mm
0.000773,0.000662,0.000109,125A,3-10mm
0.000355,0.000304,7.81e-05,125A,10-50mm
8.14e-05,6.97e-05,2.86e-05,125A,50-150mm
0.00011,0.000101,4.48e-05,125A,>150mm
0.00304,0.00261,0.000427,125A,Total
