Total,Full Pressure,Zero Pressure,Equipment size,category
4.20E-03,4.04E-03,1.57E-04,12.5A,1-3mm
1.58E-03,1.43E-03,1.07E-04,,3-10mm
7.50E-04,6.24E-04,1.68E-04,,10-50mm
0,0,0,,50-150mm
0,0,0,,>150mm
6.53E-03,6.10E-03,4.32E-04,,Total
4.20E-03,4.04E-03,1.57E-04,25A,1-3mm
1.58E-03,1.43E-03,1.07E-04,,3-10mm
7.50E-04,6.24E-04,1.68E-04,,10-50mm
0,0,0,,50-150mm
0,0,0,,>150mm
6.53E-03,6.10E-03,4.32E-04,,Total
4.20E-03,4.04E-03,1.57E-04,50A,1-3mm
1.58E-03,1.43E-03,1.07E-04,,3-10mm
5.85E-04,4.97E-04,8.12E-05,,10-50mm
1.65E-04,1.27E-04,8.69E-05,,50-150mm
0,0,0,,>150mm
6.53E-03,6.10E-03,4.32E-04,,Total
4.20E-03,4.04E-03,1.57E-04,100A,1-3mm
1.58E-03,1.43E-03,1.07E-04,,3-10mm
5.85E-04,4.97E-04,8.12E-05,,10-50mm
1.65E-04,1.27E-04,8.69E-05,,50-150mm
0,0,0,,>150mm
6.53E-03,6.10E-03,4.32E-04,,Total
4.20E-03,4.04E-03,1.57E-04,125A,1-3mm
1.58E-03,1.43E-03,1.07E-04,,3-10mm
5.85E-04,4.97E-04,8.12E-05,,10-50mm
1.06E-04,8.41E-05,3.15E-05,,50-150mm
5.88E-05,4.28E-05,5.54E-05,,>150mm
6.53E-03,6.10E-03,4.32E-04,,Total
