Total,Full Pressure,Zero Pressure,Equipment size,category
2.85E-03,2.33E-03,2.35E-04,12.5A,1-3mm
1.64E-03,1.46E-03,1.63E-04,,3-10mm
1.71E-03,1.81E-03,2.63E-04,,10-50mm
0,0,0,,50-150mm
0,0,0,,>150mm
6.20E-03,5.60E-03,6.60E-04,,Total
2.85E-03,2.33E-03,2.35E-04,25A,1-3mm
1.64E-03,1.46E-03,1.63E-04,,3-10mm
1.71E-03,1.81E-03,2.63E-04,,10-50mm
0,0,0,,50-150mm
0,0,0,,>150mm
6.20E-03,5.60E-03,6.60E-04,,Total
2.85E-03,2.33E-03,2.35E-04,50A,1-3mm
1.64E-03,1.46E-03,1.63E-04,,3-10mm
1.01E-03,1.81E-03,2.63E-04,,10-50mm
6.93E-04,0,0,,50-150mm
0,0,0,,>150mm
6.20E-03,5.60E-03,6.60E-04,,Total
2.85E-03,2.33E-03,2.35E-04,100A,1-3mm
1.64E-03,1.46E-03,1.63E-04,,3-10mm
1.01E-03,1.81E-03,2.63E-04,,10-50mm
6.93E-04,0,0,,50-150mm
0,0,0,,>150mm
6.20E-03,5.60E-03,6.60E-04,,Total
2.85E-03,2.33E-03,2.35E-04,125A,1-3mm
1.64E-03,1.46E-03,1.63E-04,,3-10mm
1.01E-03,1.81E-03,2.63E-04,,10-50mm
6.93E-04,0,0,,50-150mm
0,0,0,,>150mm
6.20E-03,5.60E-03,6.60E-04,,Total
