Total,Full Pressure,Zero Pressure,Equipment size,category
3.09E-04,3.00E-04,1.09E-05,12.5A,1-3mm
1.37E-04,1.29E-04,7.14E-06,,3-10mm
8.64E-05,7.64E-05,9.94E-06,,10-50mm
0,0,0,,50-150mm
0,0,0,,>150mm
5.33E-04,5.05E-04,2.80E-05,,Total
3.09E-04,3.00E-04,1.09E-05,25A,1-3mm
1.37E-04,1.29E-04,7.14E-06,,3-10mm
8.64E-05,7.64E-05,9.94E-06,,10-50mm
0,0,0,,50-150mm
0,0,0,,>150mm
5.33E-04,5.05E-04,2.80E-05,,Total
3.09E-04,3.00E-04,1.09E-05,50A,1-3mm
1.37E-04,1.29E-04,7.14E-06,,3-10mm
8.64E-05,7.64E-05,9.94E-06,,10-50mm
0,0,0,,50-150mm
0,0,0,,>150mm
5.33E-04,5.05E-04,2.80E-05,,Total
