Total,Full Pressure,Zero Pressure,Equipment size,category
5.59E-04,5.42E-04,6.08E-06,12.5A,1-3mm
1.77E-04,1.68E-04,4.21E-06,,3-10mm
7.51E-05,7.02E-05,7.80E-06,,10-50mm
0,0,0,,50-150mm
0,0,0,,>150mm
8.11E-04,7.80E-04,1.81E-05,,Total
5.59E-04,5.43E-04,7.71E-06,25A,1-3mm
1.77E-04,1.68E-04,5.34E-06,,3-10mm
7.52E-05,7.03E-05,9.63E-06,,10-50mm
0,0,0,,50-150mm
0,0,0,,>150mm
8.11E-04,7.81E-04,2.27E-05,,Total
5.61E-04,5.44E-04,9.93E-06,50A,1-3mm
1.77E-04,1.69E-04,6.88E-06,,3-10mm
5.40E-05,5.03E-05,5.28E-06,,10-50mm
2.13E-05,2.02E-05,6.84E-06,,50-150mm
0,0,0,,>150mm
8.14E-04,7.84E-04,2.89E-05,,Total
5.57E-04,5.49E-04,1.29E-05,100A,1-3mm
1.79E-04,1.70E-04,8.96E-06,,3-10mm
5.45E-05,5.07E-05,6.87E-06,,10-50mm
2.14E-05,2.03E-05,8.61E-06,,50-150mm
0,0,0,,>150mm
8.11E-04,7.90E-04,3.74E-05,,Total
5.71E-04,5.54E-04,1.52E-05,125A,1-3mm
1.81E-04,1.72E-04,1.05E-05,,3-10mm
5.50E-05,5.12E-05,8.06E-06,,10-50mm
8.03E-06,7.29E-06,3.17E-06,,50-150mm
1.35E-05,1.31E-05,6.75E-06,,>150mm
8.28E-04,7.97E-04,4.37E-05,,Total
5.86E-04,5.67E-04,1.86E-05,250A,1-3mm
1.89E-04,1.76E-04,1.29E-05,,3-10mm
6.23E-05,5.24E-05,9.89E-06,,10-50mm
1.14E-05,7.46E-06,3.89E-06,,50-150mm
2.12E-05,1.31E-05,8.05E-06,,>150mm
8.69E-04,8.16E-04,5.33E-05,,Total
6.03E-04,5.82E-04,2.13E-05,350A,1-3mm
1.95E-04,1.81E-04,1.48E-05,,3-10mm
6.51E-05,5.38E-05,1.13E-05,,10-50mm
1.21E-05,7.66E-06,4.46E-06,,50-150mm
2.23E-05,1.32E-05,9.09E-06,,>150mm
8.98E-04,8.37E-04,6.10E-05,,Total
6.33E-04,6.08E-04,2.47E-05,500A,1-3mm
2.06E-04,1.89E-04,1.71E-05,,3-10mm
6.93E-05,5.62E-05,1.31E-05,,10-50mm
1.32E-05,8.01E-06,5.17E-06,,50-150mm
2.37E-05,1.34E-05,1.04E-05,,>150mm
9.45E-04,8.74E-04,7.05E-05,,Total
