Total,Full Pressure,Zero Pressure,Equipment size,category
5.17E-05,5.247E-05,3.03E-07,12.5A,1-3mm
2.40E-05,2.28E-05,2.22E-07,,3-10mm
1.84E-05,1.48E-05,4.24E-07,,10-50mm
0,0,0,,50-150mm
0,0,0,,>150mm
9.40E-05,9.00E-05,9.49E-07,,Total
5.18E-05,5.26E-05,5.84E-07,25A,1-3mm
2.41E-05,2.28E-05,4.28E-07,,3-10mm
1.84E-05,1.48E-05,8.17E-07,,10-50mm
0,0,0,,50-150mm
0,0,0,,>150mm
9.43E-05,9.03E-05,1.83E-06,,Total
5.26E-05,5.34E-05,1.15E-06,50A,1-3mm
2.45E-05,2.32E-05,8.40E-07,,3-10mm
1.17E-05,1.02E-05,6.91E-07,,10-50mm
6.99E-06,4.81E-06,9.13E-07,,50-150mm
0,0,0,,>150mm
9.58E-05,9.17E-05,3.59E-06,,Total
5.76E-05,5.85E-05,2.27E-06,100A,1-3mm
2.68E-05,2.54E-05,1.66E-06,,3-10mm
1.28E-05,1.12E-05,1.37E-06,,10-50mm
7.46E-06,5.18E-06,1.81E-06,,50-150mm
0,0,0,,>150mm
1.05E-04,1.00E-04,7.11E-06,,Total
6.88E-05,6.98E-05,3.39E-06,125A,1-3mm
3.20E-05,3.03E-05,2.49E-06,,3-10mm
1.53E-05,1.34E-05,2.05E-06,,10-50mm
3.66E-06,2.94E-06,8.63E-07,,50-150mm
4.86E-06,3.05E-06,1.84E-06,,>150mm
1.25E-04,1.20E-04,1.06E-05,,Total
1.163E-04,1.181E-04,5.640E-06,250A,1-3mm
5.405E-05,5.128E-05,4.137E-06,,3-10mm
2.583E-05,2.261E-05,3.400E-06,,10-50mm
6.185E-06,4.968E-06,1.435E-06,,50-150mm
6.834E-06,4.462E-06,3.059E-06,,>150mm
2.092E-04,2.014E-04,1.767E-05,,Total
2.067E-04,2.099E-04,7.888E-06,350A,1-3mm
9.607E-05,9.114E-05,5.785E-06,,3-10mm
4.591E-05,4.020E-05,4.754E-06,,10-50mm
1.099E-05,8.830E-06,2.006E-06,,50-150mm
1.059E-05,7.154E-06,4.278E-06,,>150mm
3.703E-04,3.572E-04,2.471E-05,,Total
4.436E-04,4.506E-04,1.126E-05,500A,1-3mm
2.062E-04,1.956E-04,8.257E-06,,3-10mm
9.852E-05,8.627E-05,6.786E-06,,10-50mm
2.360E-05,1.895E-05,2.864E-06,,50-150mm
2.044E-05,1.421E-05,6.107E-06,,>150mm
7.924E-04,7.656E-04,3.527E-05,,Total
