Equipment size,category,Total,Full Pressure,Zero Pressure,
12.5A,1-3mm,8.884E-04,7.859E-04,1.600E-04,
,3-10mm,5.946E-04,4.093E-04,1.393E-04,
,10-50mm,8.768E-04,3.448E-04,5.117E-04,
,50-150mm,0.000E+00,0.000E+00,0.000E+00,
,>150mm,0.000E+00,0.000E+00,0.000E+00,
,Total,2.360E-03,1.540E-03,8.110E-04,
25A,1-3mm,8.884E-04,7.859E-04,1.600E-04,
,3-10mm,5.946E-04,4.093E-04,1.393E-04,
,10-50mm,8.768E-04,3.448E-04,5.117E-04,
,50-150mm,0.000E+00,0.000E+00,0.000E+00,
,>150mm,0.000E+00,0.000E+00,0.000E+00,
,Total,2.360E-03,1.540E-03,8.110E-04,
50A,1-3mm,8.884E-04,7.859E-04,1.600E-04,
,3-10mm,5.946E-04,4.093E-04,1.393E-04,
,10-50mm,4.379E-04,2.236E-04,1.408E-04,
,50-150mm,4.379E-04,1.211E-04,3.709E-04,
,>150mm,0.000E+00,0.000E+00,0.000E+00,
,Total,2.359E-03,1.540E-03,8.110E-04,
100A,1-3mm,8.884E-04,7.859E-04,1.600E-04,
,3-10mm,5.946E-04,4.093E-04,1.393E-04,
,10-50mm,4.379E-04,2.236E-04,1.408E-04,
,50-150mm,4.379E-04,1.211E-04,3.709E-04,
,>150mm,0.000E+00,0.000E+00,0.000E+00,
,Total,2.359E-03,1.540E-03,8.110E-04,
125A,1-3mm,8.884E-04,7.859E-04,1.600E-04,
,3-10mm,5.946E-04,4.093E-04,1.393E-04,
,10-50mm,4.379E-04,2.236E-04,1.408E-04,
,50-150mm,1.652E-04,6.181E-05,7.316E-05,
,>150mm,2.736E-04,5.930E-05,2.977E-04,
,Total,2.360E-03,1.540E-03,8.110E-04,
