Equipment size,category,Total,Full Pressure,Zero Pressure,
12.5A,1-3mm,1.462E-03,1.177E-03,3.081E-04,
,3-10mm,1.084E-03,8.152E-04,2.593E-04,
,10-50mm,2.144E-03,1.318E-03,8.126E-04,
,50-150mm,0.000E+00,0.000E+00,0.000E+00,
,>150mm,0.000E+00,0.000E+00,0.000E+00,
,Total,4.690E-03,3.310E-03,1.380E-03,
25A,1-3mm,1.462E-03,1.177E-03,3.081E-04,
,3-10mm,1.084E-03,8.152E-04,2.593E-04,
,10-50mm,2.144E-03,1.318E-03,8.126E-04,
,50-150mm,0.000E+00,0.000E+00,0.000E+00,
,>150mm,0.000E+00,0.000E+00,0.000E+00,
,Total,4.690E-03,3.310E-03,1.380E-03,
50A,1-3mm,1.462E-03,1.177E-03,3.081E-04,
,3-10mm,1.084E-03,8.152E-04,2.593E-04,
,10-50mm,9.034E-04,6.255E-04,2.514E-04,
,50-150mm,1.240E-03,6.922E-04,5.612E-04,
,>150mm,0.000E+00,0.000E+00,0.000E+00,
,Total,4.689E-03,3.310E-03,1.380E-03,
100A,1-3mm,1.462E-03,1.177E-03,3.081E-04,
,3-10mm,1.084E-03,8.152E-04,2.593E-04,
,10-50mm,9.034E-04,6.255E-04,2.514E-04,
,50-150mm,1.240E-03,6.922E-04,5.612E-04,
,>150mm,0.000E+00,0.000E+00,0.000E+00,
,Total,4.689E-03,3.310E-03,1.380E-03,
125A,1-3mm,1.462E-03,1.177E-03,3.081E-04,
,3-10mm,1.084E-03,8.152E-04,2.593E-04,
,10-50mm,9.034E-04,6.255E-04,2.514E-04,
,50-150mm,3.866E-04,2.462E-04,1.253E-04,
,>150mm,8.537E-04,4.461E-04,4.359E-04,
,Total,4.690E-03,3.310E-03,1.380E-03,
