Total,Full Pressure,Zero Pressure,Equipment size,category
5.80E-03,5.58E-03,1.32E-04,12.5A,1-3mm
2.46E-03,2.32E-03,1.05E-04,,3-10mm
1.44E-03,1.30E-03,2.62E-04,,10-50mm
0.00E+00,0.00E+00,0.00E+00,,50-150mm
0.00E+00,0.00E+00,0.00E+00,,>150mm
9.70E-03,9.20E-03,5.00E-04,,Total
5.80E-03,5.58E-03,1.32E-04,25A,1-3mm
2.46E-03,2.32E-03,1.05E-04,,3-10mm
1.44E-03,1.30E-03,2.62E-04,,10-50mm
0.00E+00,0.00E+00,0.00E+00,,50-150mm
0.00E+00,0.00E+00,0.00E+00,,>150mm
9.70E-03,9.20E-03,5.00E-04,,Total
5.80E-03,5.58E-03,1.32E-04,50A,1-3mm
2.46E-03,2.32E-03,1.05E-04,,3-10mm
1.06E-03,9.69E-04,9.52E-05,,10-50mm
3.77E-04,3.31E-04,1.67E-04,,50-150mm
0.00E+00,0.00E+00,0.00E+00,,>150mm
9.70E-03,9.20E-03,5.00E-04,,Total
5.80E-03,5.58E-03,1.32E-04,100A,1-3mm
2.46E-03,2.32E-03,1.05E-04,,3-10mm
1.06E-03,9.69E-04,9.52E-05,,10-50mm
3.77E-04,3.31E-04,1.67E-04,,50-150mm
0.00E+00,0.00E+00,0.00E+00,,>150mm
9.70E-03,9.20E-03,5.00E-04,,Total
5.80E-03,5.58E-03,1.32E-04,125A,1-3mm
2.46E-03,2.32E-03,1.05E-04,,3-10mm
1.06E-03,9.69E-04,9.52E-05,,10-50mm
2.26E-04,2.01E-04,4.43E-05,,50-150mm
1.52E-04,1.30E-04,1.23E-04,,>150mm
9.70E-03,9.20E-03,5.00E-04,,Total
