Total,Full Pressure,Zero Pressure,Equipment size,category
3.64E-02,3.69E-02,0.00E+00,12.5A,1-3mm
1.58E-02,1.51E-02,0.00E+00,,3-10mm
9.57E-03,8.32E-03,0.00E+00,,10-50mm
0.00E+00,0.00E+00,0.00E+00,,50-150mm
0.00E+00,0.00E+00,0.00E+00,,>150mm
6.18E-02,6.03E-02,0.00E+00,,Total
3.64E-02,3.69E-02,0.00E+00,25A,1-3mm
1.58E-02,1.51E-02,0.00E+00,,3-10mm
9.57E-03,8.32E-03,0.00E+00,,10-50mm
0.00E+00,0.00E+00,0.00E+00,,50-150mm
0.00E+00,0.00E+00,0.00E+00,,>150mm
6.18E-02,6.03E-02,0.00E+00,,Total
3.64E-02,3.69E-02,0.00E+00,50A,1-3mm
1.58E-02,1.51E-02,0.00E+00,,3-10mm
6.97E-03,6.24E-03,0.00E+00,,10-50mm
2.60E-03,2.09E-03,0.00E+00,,50-150mm
0.00E+00,0.00E+00,0.00E+00,,>150mm
6.18E-02,6.03E-02,0.00E+00,,Total
3.64E-02,3.69E-02,0.00E+00,100A,1-3mm
1.58E-02,1.51E-02,0.00E+00,,3-10mm
6.97E-03,6.24E-03,0.00E+00,,10-50mm
2.60E-03,2.09E-03,0.00E+00,,50-150mm
0.00E+00,0.00E+00,0.00E+00,,>150mm
6.18E-02,6.03E-02,0.00E+00,,Total
3.64E-02,3.69E-02,0.00E+00,125A,1-3mm
1.58E-02,1.51E-02,0.00E+00,,3-10mm
6.97E-03,6.24E-03,0.00E+00,,10-50mm
1.53E-03,1.28E-03,0.00E+00,,50-150mm
1.07E-03,8.11E-04,0.00E+00,,>150mm
6.18E-02,6.03E-02,0.00E+00,,Total
0.00E+00,0.00E+00,0.00E+00,250A,1-3mm
0.00E+00,0.00E+00,0.00E+00,,3-10mm
0.00E+00,0.00E+00,0.00E+00,,10-50mm
0.00E+00,0.00E+00,0.00E+00,,50-150mm
0.00E+00,0.00E+00,0.00E+00,,>150mm
0.00E+00,0.00E+00,0.00E+00,,Total
0.00E+00,0.00E+00,0.00E+00,350A,1-3mm
0.00E+00,0.00E+00,0.00E+00,,3-10mm
0.00E+00,0.00E+00,0.00E+00,,10-50mm
0.00E+00,0.00E+00,0.00E+00,,50-150mm
0.00E+00,0.00E+00,0.00E+00,,>150mm
0.00E+00,0.00E+00,0.00E+00,,Total
0.00E+00,0.00E+00,0.00E+00,500A,1-3mm
0.00E+00,0.00E+00,0.00E+00,,3-10mm
0.00E+00,0.00E+00,0.00E+00,,10-50mm
0.00E+00,0.00E+00,0.00E+00,,50-150mm
0.00E+00,0.00E+00,0.00E+00,,>150mm
0.00E+00,0.00E+00,0.00E+00,,Total
