Total,Full Pressure,Zero Pressure,Equipment size,category
1.87E-03,1.61E-03,2.45E-04,12.5A,1-3mm
9.31E-04,7.56E-04,1.61E-04,,3-10mm
7.19E-04,5.26E-04,2.23E-04,,10-50mm
0.00E+00,0.00E+00,0.00E+00,,50-150mm
0.00E+00,0.00E+00,0.00E+00,,>150mm
3.52E-03,2.89E-03,6.29E-04,,Total
1.87E-03,1.61E-03,2.45E-04,25A,1-3mm
9.31E-04,7.56E-04,1.61E-04,,3-10mm
7.19E-04,5.26E-04,2.23E-04,,10-50mm
0.00E+00,0.00E+00,0.00E+00,,50-150mm
0.00E+00,0.00E+00,0.00E+00,,>150mm
3.52E-03,2.89E-03,6.29E-04,,Total
1.87E-03,1.61E-03,2.45E-04,50A,1-3mm
9.31E-04,7.56E-04,1.61E-04,,3-10mm
4.82E-04,3.66E-04,1.15E-04,,10-50mm
2.37E-04,1.60E-04,1.08E-04,,50-150mm
0.00E+00,0.00E+00,0.00E+00,,>150mm
3.52E-03,2.89E-03,6.29E-04,,Total
1.87E-03,1.61E-03,2.45E-04,100A,1-3mm
9.31E-04,7.56E-04,1.61E-04,,3-10mm
4.82E-04,3.66E-04,1.15E-04,,10-50mm
2.37E-04,1.60E-04,1.08E-04,,50-150mm
0.00E+00,0.00E+00,0.00E+00,,>150mm
3.52E-03,2.89E-03,6.29E-04,,Total
1.87E-03,1.61E-03,2.45E-04,125A,1-3mm
9.31E-04,7.56E-04,1.61E-04,,3-10mm
4.82E-04,3.66E-04,1.15E-04,,10-50mm
1.26E-04,8.89E-05,4.22E-05,,50-150mm
1.11E-04,7.09E-05,6.60E-05,,>150mm
3.52E-03,2.89E-03,6.29E-04,,Total
