Total,Full Pressure,Zero Pressure,Equipment size,category
3.73E-05,3.54E-05,1.16E-06,12.5A,1-3mm
1.36E-05,1.24E-05,8.77E-07,,3-10mm
1.23E-05,1.03E-05,2.37E-06,,10-50mm
0.00E+00,0.00E+00,0.00E+00,,50-150mm
0.00E+00,0.00E+00,0.00E+00,,>150mm
6.32E-05,5.81E-05,4.40E-06,,Total
4.04E-05,3.77E-05,1.16E-06,25A,1-3mm
1.48E-05,1.32E-05,8.77E-07,,3-10mm
1.28E-05,1.07E-05,2.37E-06,,10-50mm
0.00E+00,0.00E+00,0.00E+00,,50-150mm
0.00E+00,0.00E+00,0.00E+00,,>150mm
6.80E-05,6.16E-05,4.40E-06,,Total
4.63E-05,4.23E-05,1.16E-06,50A,1-3mm
1.70E-05,1.48E-05,8.78E-07,,3-10mm
6.13E-06,5.08E-06,7.52E-07,,10-50mm
7.66E-06,6.27E-06,1.62E-06,,50-150mm
0.00E+00,0.00E+00,0.00E+00,,>150mm
7.70E-05,6.84E-05,4.40E-06,,Total
5.75E-05,5.13E-05,1.17E-06,100A,1-3mm
2.10E-05,1.80E-05,8.89E-07,,3-10mm
7.61E-06,6.16E-06,7.61E-07,,10-50mm
8.06E-06,6.54E-06,1.63E-06,,50-150mm
0.00E+00,0.00E+00,0.00E+00,,>150mm
9.42E-05,8.20E-05,4.45E-06,,Total
6.82E-05,6.03E-05,1.24E-06,125A,1-3mm
2.50E-05,2.11E-05,9.42E-07,,3-10mm
9.02E-06,7.24E-06,8.07E-07,,10-50mm
1.59E-06,1.21E-06,3.55E-07,,50-150mm
6.85E-06,5.60E-06,1.34E-06,,>150mm
1.11E-04,9.54E-05,4.69E-06,,Total
8.88E-05,7.80E-05,1.88E-06,250A,1-3mm
3.25E-05,2.73E-05,1.43E-06,,3-10mm
1.18E-05,9.36E-06,1.23E-06,,10-50mm
2.08E-06,1.56E-06,5.39E-07,,50-150mm
7.11E-06,5.78E-06,1.78E-06,,>150mm
1.42E-04,1.22E-04,6.86E-06,,Total
1.09E-04,9.56E-05,4.15E-06,350A,1-3mm
3.98E-05,3.35E-05,3.15E-06,,3-10mm
1.44E-05,1.15E-05,2.70E-06,,10-50mm
2.54E-06,1.91E-06,1.19E-06,,50-150mm
7.36E-06,5.96E-06,3.32E-06,,>150mm
1.73E-04,1.48E-04,1.45E-05,,Total
1.38E-04,1.22E-04,1.45E-05,500A,1-3mm
5.05E-05,4.26E-05,1.10E-05,,3-10mm
1.83E-05,1.46E-05,9.45E-06,,10-50mm
3.23E-06,2.44E-06,4.16E-06,,50-150mm
7.72E-06,6.22E-06,1.04E-05,,>150mm
2.18E-04,1.88E-04,4.96E-05,,Total
