Total,Full Pressure,Zero Pressure,Equipment size,category
8.00E-04,8.00E-04,0.00E+00,12.5A,1-3mm
3.80E-04,3.80E-04,0.00E+00,,3-10mm
2.70E-04,2.70E-04,0.00E+00,,10-50mm
0.00E+00,0.00E+00,0.00E+00,,50-150mm
0.00E+00,0.00E+00,0.00E+00,,>150mm
1.45E-03,1.45E-03,0.00E+00,,Total
8.00E-04,8.00E-04,0.00E+00,25A,1-3mm
3.80E-04,3.80E-04,0.00E+00,,3-10mm
2.70E-04,2.70E-04,0.00E+00,,10-50mm
0.00E+00,0.00E+00,0.00E+00,,50-150mm
0.00E+00,0.00E+00,0.00E+00,,>150mm
1.45E-03,1.45E-03,0.00E+00,,Total
8.00E-04,8.00E-04,0.00E+00,50A,1-3mm
3.80E-04,3.80E-04,0.00E+00,,3-10mm
1.87E-04,1.87E-04,0.00E+00,,10-50mm
8.34E-05,8.34E-05,0.00E+00,,50-150mm
0.00E+00,0.00E+00,0.00E+00,,>150mm
1.45E-03,1.45E-03,0.00E+00,,Total
8.00E-04,8.00E-04,0.00E+00,100A,1-3mm
3.80E-04,3.80E-04,0.00E+00,,3-10mm
1.87E-04,1.87E-04,0.00E+00,,10-50mm
8.34E-05,8.34E-05,0.00E+00,,50-150mm
0.00E+00,0.00E+00,0.00E+00,,>150mm
1.45E-03,1.45E-03,0.00E+00,,Total
8.00E-04,8.00E-04,0.00E+00,125A,1-3mm
3.80E-04,3.80E-04,0.00E+00,,3-10mm
1.87E-04,1.87E-04,0.00E+00,,10-50mm
4.60E-05,4.60E-05,0.00E+00,,50-150mm
3.74E-05,3.74E-05,0.00E+00,,>150mm
1.45E-03,1.45E-03,0.00E+00,,Total
