Total,Full Pressure,Zero Pressure,Equipment size,category
5.16E-03,5.01E-03,1.48E-04,12.5A,1-3mm
2.85E-03,2.79E-03,9.70E-05,,3-10mm
2.69E-03,2.70E-03,1.35E-04,,10-50mm
0.00E+00,0.00E+00,0.00E+00,,50-150mm
0.00E+00,0.00E+00,0.00E+00,,>150mm
1.07E-02,1.05E-02,3.80E-04,,Total
5.16E-03,5.01E-03,1.48E-04,25A,1-3mm
2.85E-03,2.79E-03,9.70E-05,,3-10mm
2.69E-03,2.70E-03,1.35E-04,,10-50mm
0.00E+00,0.00E+00,0.00E+00,,50-150mm
0.00E+00,0.00E+00,0.00E+00,,>150mm
1.07E-02,1.05E-02,3.80E-04,,Total
5.16E-03,5.01E-03,1.48E-04,50A,1-3mm
2.85E-03,2.79E-03,9.70E-05,,3-10mm
1.66E-03,1.66E-03,6.95E-05,,10-50mm
1.02E-03,1.04E-03,6.54E-05,,50-150mm
0.00E+00,0.00E+00,0.00E+00,,>150mm
1.07E-02,1.05E-02,3.80E-04,,Total
5.16E-03,5.01E-03,1.48E-04,100A,1-3mm
2.85E-03,2.79E-03,9.70E-05,,3-10mm
1.66E-03,1.66E-03,6.95E-05,,10-50mm
1.02E-03,1.04E-03,6.54E-05,,50-150mm
0.00E+00,0.00E+00,0.00E+00,,>150mm
1.07E-02,1.05E-02,3.80E-04,,Total
5.16E-03,5.01E-03,1.48E-04,125A,1-3mm
2.85E-03,2.79E-03,9.70E-05,,3-10mm
1.66E-03,1.66E-03,6.95E-05,,10-50mm
4.94E-04,4.98E-04,2.55E-05,,50-150mm
5.29E-04,5.46E-04,3.99E-05,,>150mm
1.07E-02,1.05E-02,3.80E-04,,Total
