Total,Full Pressure,Zero Pressure,Equipment size,category
2.01E-03,1.83E-03,2.34E-04,12.5A,1-3mm
1.04E-03,9.85E-04,1.03E-04,,3-10mm
8.53E-04,8.88E-04,6.34E-05,,10-50mm
0.00E+00,0.00E+00,0.00E+00,,50-150mm
0.00E+00,0.00E+00,0.00E+00,,>150mm
3.90E-03,3.70E-03,4.00E-04,,Total
2.01E-03,1.83E-03,2.34E-04,25A,1-3mm
1.04E-03,9.85E-04,1.03E-04,,3-10mm
8.53E-04,8.88E-04,6.34E-05,,10-50mm
0.00E+00,0.00E+00,0.00E+00,,50-150mm
0.00E+00,0.00E+00,0.00E+00,,>150mm
3.90E-03,3.70E-03,4.00E-04,,Total
2.01E-03,1.83E-03,2.34E-04,50A,1-3mm
1.04E-03,9.85E-04,1.03E-04,,3-10mm
5.58E-04,5.60E-04,4.59E-05,,10-50mm
2.95E-04,3.27E-04,1.75E-05,,50-150mm
0.00E+00,0.00E+00,0.00E+00,,>150mm
3.90E-03,3.70E-03,4.00E-04,,Total
2.01E-03,1.83E-03,2.34E-04,100A,1-3mm
1.04E-03,9.85E-04,1.03E-04,,3-10mm
5.58E-04,5.60E-04,4.59E-05,,10-50mm
2.95E-04,3.27E-04,1.75E-05,,50-150mm
0.00E+00,0.00E+00,0.00E+00,,>150mm
3.90E-03,3.70E-03,4.00E-04,,Total
2.01E-03,1.83E-03,2.34E-04,125A,1-3mm
1.04E-03,9.85E-04,1.03E-04,,3-10mm
5.58E-04,5.60E-04,4.59E-05,,10-50mm
1.52E-04,1.62E-04,1.02E-05,,50-150mm
1.43E-04,1.66E-04,7.26E-06,,>150mm
3.90E-03,3.70E-03,4.00E-04,,Total
