Total,Full Pressure,Zero Pressure,Equipment size,category
1.72E-03,1.47E-03,1.67E-04,12.5A,1-3mm
7.73E-04,6.62E-04,1.09E-04,,3-10mm
5.46E-04,4.75E-04,1.52E-04,,10-50mm
0.00E+00,0.00E+00,0.00E+00,,50-150mm
0.00E+00,0.00E+00,0.00E+00,,>150mm
3.04E-03,2.61E-03,4.27E-04,,Total
1.72E-03,1.47E-03,1.67E-04,25A,1-3mm
7.73E-04,6.62E-04,1.09E-04,,3-10mm
5.46E-04,4.75E-04,1.52E-04,,10-50mm
0.00E+00,0.00E+00,0.00E+00,,50-150mm
0.00E+00,0.00E+00,0.00E+00,,>150mm
3.04E-03,2.61E-03,4.27E-04,,Total
1.72E-03,1.47E-03,1.67E-04,50A,1-3mm
7.73E-04,6.62E-04,1.09E-04,,3-10mm
3.55E-04,3.04E-04,7.81E-05,,10-50mm
1.91E-04,1.71E-04,7.34E-05,,50-150mm
0.00E+00,0.00E+00,0.00E+00,,>150mm
3.04E-03,2.61E-03,4.27E-04,,Total
1.72E-03,1.47E-03,1.67E-04,100A,1-3mm
7.73E-04,6.62E-04,1.09E-04,,3-10mm
3.55E-04,3.04E-04,7.81E-05,,10-50mm
1.91E-04,1.71E-04,7.34E-05,,50-150mm
0.00E+00,0.00E+00,0.00E+00,,>150mm
3.04E-03,2.61E-03,4.27E-04,,Total
1.72E-03,1.47E-03,1.67E-04,125A,1-3mm
7.73E-04,6.62E-04,1.09E-04,,3-10mm
3.55E-04,3.04E-04,7.81E-05,,10-50mm
8.14E-05,6.97E-05,2.86E-05,,50-150mm
1.10E-04,1.01E-04,4.48E-05,,>150mm
3.04E-03,2.61E-03,4.27E-04,,Total
