Total,Full Pressure,Zero Pressure,Equipment size,category
9.17E-04,9.41E-04,7.56E-06,12.5A,1-3mm
3.43E-04,3.29E-04,5.30E-06,,3-10mm
1.68E-04,1.44E-04,1.08E-05,,10-50mm
0.00E+00,0.00E+00,0.00E+00,,50-150mm
0.00E+00,0.00E+00,0.00E+00,,>150mm
1.43E-03,1.41E-03,2.37E-05,,Total
2.73E-04,2.85E-04,4.77E-06,25A,1-3mm
1.02E-04,9.98E-05,3.34E-06,,3-10mm
5.31E-05,4.58E-05,7.58E-06,,10-50mm
0.00E+00,0.00E+00,0.00E+00,,50-150mm
0.00E+00,0.00E+00,0.00E+00,,>150mm
4.28E-04,4.31E-04,1.57E-05,,Total
9.99E-05,1.03E-04,3.55E-06,50A,1-3mm
3.74E-05,3.61E-05,2.49E-06,,3-10mm
1.39E-05,1.24E-05,1.94E-06,,10-50mm
8.42E-06,6.10E-06,4.22E-06,,50-150mm
0.00E+00,0.00E+00,0.00E+00,,>150mm
1.60E-04,1.58E-04,1.22E-05,,Total
5.36E-05,5.27E-05,3.02E-06,100A,1-3mm
2.01E-05,1.85E-05,2.12E-06,,3-10mm
7.46E-06,6.33E-06,1.65E-06,,10-50mm
6.61E-06,4.58E-06,3.89E-06,,50-150mm
0.00E+00,0.00E+00,0.00E+00,,>150mm
8.78E-05,8.21E-05,1.07E-05,,Total
4.45E-05,4.25E-05,2.86E-06,125A,1-3mm
1.67E-05,1.49E-05,2.01E-06,,3-10mm
6.19E-06,5.10E-06,1.56E-06,,10-50mm
1.13E-06,8.50E-07,6.23E-07,,50-150mm
5.12E-06,3.43E-06,3.17E-06,,>150mm
7.37E-05,6.67E-05,1.02E-05,,Total
3.97E-05,3.69E-05,2.75E-06,250A,1-3mm
1.49E-05,1.29E-05,1.93E-06,,3-10mm
5.52E-06,4.43E-06,1.50E-06,,10-50mm
1.00E-06,7.38E-07,5.98E-07,,50-150mm
5.06E-06,3.37E-06,3.12E-06,,>150mm
6.61E-05,5.83E-05,9.89E-06,,Total
3.88E-05,3.59E-05,2.72E-06,350A,1-3mm
1.45E-05,1.26E-05,1.91E-06,,3-10mm
5.40E-06,4.31E-06,1.48E-06,,10-50mm
9.81E-07,7.17E-07,5.92E-07,,50-150mm
5.04E-06,3.36E-06,3.11E-06,,>150mm
6.48E-05,5.68E-05,9.81E-06,,Total
3.79E-05,3.48E-05,2.69E-06,500A,1-3mm
1.42E-05,1.22E-05,1.89E-06,,3-10mm
5.27E-06,4.12E-06,1.47E-06,,10-50mm
9.59E-07,6.97E-07,5.85E-07,,50-150mm
5.03E-06,3.35E-06,3.09E-06,,>150mm
6.34E-05,5.52E-05,9.72E-06,,Total
